Strike,Maturity,"Option
price",Delta,Vega,Delta Strike,Gamma Strike,Theta,ChangedStrike,DividendFactor,ImpVolCalibrated,VegaRef,"Option
type",logMoneyness,impliedTotalVariance,Bid,Ask,ImpVolAsk,ImpVolBid,locvol,logMaturity,"Implied
vol."
2350,0.055,0.425,-0.005656652,10.82165137,0.009316267,-0.0000306,39.73148482,2346.866333,1,0.338374797,0.828633837,2,-0.197576312,0.006279703,0.35,0.5,0.344853118,0.331020687,1,-2.900422094,0.338374797
2375,0.055,0.5,-0.006725787,12.61514207,0.011001694,-0.0000342,46.54988672,2371.832997,1,0.328316255,1.50568992,2,-0.186994203,0.005906301,0.4,0.6,0.335660984,0.319849231,1,-2.900422094,0.328316255
2390,0.055,0.525,-0.007206172,13.40734771,0.011728174,-0.000036,49.39629577,2386.812994,1,0.320322842,2.115140935,2,-0.180698275,0.005624962,0.45,0.6,0.325608056,0.314478461,1,-2.900422094,0.320322842
2395,0.055,0.55,-0.007549407,13.96860714,0.012275318,-0.000037,51.59571998,2391.806327,1,0.318826039,2.361716192,2,-0.17860841,0.005572319,0.45,0.65,0.325510525,0.311229316,1,-2.900422094,0.318826039
2410,0.055,0.6,-0.008322002,15.21829805,0.013476934,-0.0000393,56.33088832,2406.786325,1,0.312259082,3.258431624,2,-0.172364893,0.005343629,0.5,0.7,0.318422646,0.305336102,1,-2.900422094,0.312259082
2425,0.055,0.65,-0.009131409,16.50861439,0.014727227,-0.0000417,61.19611248,2421.766323,1,0.305367822,4.43652585,2,-0.166160116,0.005109667,0.55,0.75,0.311073688,0.29902194,1,-2.900422094,0.305367822
2435,0.055,0.7,-0.009860859,17.65612212,0.015869023,-0.0000435,65.64497264,2431.752988,1,0.301553174,5.410740288,2,-0.162044884,0.004979745,0.6,0.8,0.306900572,0.295655435,1,-2.900422094,0.301553174
2455,0.055,0.8,-0.011428838,20.07787581,0.018311642,-0.000047,75.03190106,2451.726319,1,0.293274058,7.911768491,2,-0.153864879,0.004712031,0.7,0.9,0.298012426,0.288118071,1,-2.900422094,0.293274058
2470,0.055,0.9,-0.012901862,22.30255667,0.020614612,-0.0000497,83.78974141,2466.706316,1,0.287693363,10.36728059,2,-0.14777349,0.004530295,0.8,1,0.291971551,0.283086083,1,-2.900422094,0.287693363
2480,0.055,0.95,-0.013757738,23.5747679,0.021930177,-0.0000513,88.67309614,2476.692982,1,0.282963093,12.32946821,2,-0.14373308,0.004383131,0.85,1.05,0.287020846,0.278612302,1,-2.900422094,0.282963093
2485,0.055,1,-0.014473461,24.62788508,0.023060071,-0.0000522,92.93605955,2481.686314,1,0.281556089,13.41837787,2,-0.141718981,0.004339765,0.9,1.1,0.285448242,0.277398944,1,-2.900422094,0.281556089
2490,0.055,1,-0.014627103,24.8527211,0.023259416,-0.0000529,93.5451325,2486.679647,1,0.278089268,14.58380477,2,-0.13970893,0.004232292,0.9,1.1,0.281943861,0.273972545,1,-2.900422094,0.278089268
2505,0.055,1.15,-0.016830707,28.03218246,0.026718166,-0.0000552,106.3655601,2501.659645,1,0.273232453,18.57410135,2,-0.133702906,0.004084094,1.05,1.25,0.276663924,0.269602353,1,-2.900422094,0.273232453
2520,0.055,1.3,-0.019134368,31.27265837,0.030316047,-0.000057,119.4147511,2516.639643,1,0.267626278,23.3776599,2,-0.127732739,0.003917959,1.2,1.4,0.270714009,0.264383507,1,-2.900422094,0.267626278
2525,0.055,1.35,-0.019892045,32.32136742,0.031492413,-0.0000574,123.6060891,2521.632975,1,0.265613099,25.17508524,2,-0.125750578,0.003856547,1.25,1.45,0.268599817,0.26248287,1,-2.900422094,0.265613099
2535,0.055,1.45,-0.021474458,34.48612697,0.033946083,-0.0000581,132.2577159,2531.619641,1,0.261392079,29.08293931,2,-0.121798004,0.003732314,1.35,1.55,0.264193366,0.258466996,1,-2.900422094,0.261392079
2540,0.055,1.5,-0.022300356,35.60286074,0.035225118,-0.0000584,136.7196682,2536.612973,1,0.259190342,31.19910038,2,-0.11982756,0.003669539,1.4,1.6,0.261906228,0.256359128,1,-2.900422094,0.259190342
2545,0.055,1.6,-0.023704154,37.48136361,0.037452674,-0.000058,144.6466715,2541.606306,1,0.258261503,33.42695136,2,-0.117860991,0.003644012,1.5,1.7,0.260846737,0.255574384,1,-2.900422094,0.258261503
2550,0.055,1.65,-0.02453925,38.5875586,0.038739645,-0.0000581,149.0363252,2546.599638,1,0.255908334,35.76889347,2,-0.115898281,0.003576375,1.55,1.75,0.258419548,0.253301706,1,-2.900422094,0.255908334
2555,0.055,1.75,-0.025991227,40.49166986,0.04103986,-0.0000574,157.0842932,2551.592971,1,0.254735304,38.22710163,2,-0.113939417,0.003545587,1.65,1.85,0.257134366,0.252251123,1,-2.900422094,0.254735304
2570,0.055,1.975,-0.0294994,44.99759557,0.046520069,-0.0000553,175.608596,2566.572969,1,0.248802657,46.31720521,2,-0.108085742,0.003379993,1.85,2.1,0.251495955,0.246005426,1,-2.900422094,0.248802657
2575,0.055,2.075,-0.030989699,46.87376091,0.048868602,-0.0000538,183.5035238,2571.566302,1,0.247200007,49.25691649,2,-0.106142107,0.003336503,1.95,2.2,0.249788749,0.244517058,1,-2.900422094,0.247200007
2590,0.055,2.375,-0.03554386,52.47835802,0.056027834,-0.000048,207.0067622,2586.546299,1,0.241769077,58.81488975,2,-0.100333765,0.003189155,2.25,2.5,0.244086353,0.239380091,1,-2.900422094,0.241769077
2600,0.055,2.625,-0.039262186,56.92143532,0.061909545,-0.0000414,225.970041,2596.532965,1,0.238558855,65.80131609,2,-0.096480196,0.003104957,2.5,2.75,0.240700056,0.23635893,1,-2.900422094,0.238558855
2610,0.055,2.875,-0.043054741,61.34060461,0.067898031,-0.0000335,244.7522767,2606.51963,1,0.234901803,73.27053796,2,-0.092641419,0.003009007,2.75,3,0.23689122,0.232863568,1,-2.900422094,0.234901803
2625,0.055,3.35,-0.049970077,69.13173337,0.078890466,-0.0000155,278.4297736,2621.499628,1,0.230121531,85.34399809,2,-0.086910745,0.002884255,3.2,3.5,0.232238641,0.227952672,1,-2.900422094,0.230121531
2635,0.055,3.75,-0.055637176,75.28257278,0.087967894,0.00000231,305.5251084,2631.486293,1,0.227437363,93.93678511,2,-0.083108459,0.002816643,3.6,3.9,0.229385424,0.225447935,1,-2.900422094,0.227437363
2645,0.055,4.15,-0.061433704,81.37526777,0.097252868,0.000023,332.2346228,2641.472958,1,0.224177939,102.9258363,2,-0.079320575,0.002735095,4,4.3,0.225982671,0.222339522,1,-2.900422094,0.224177939
